course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-C5FEA8B64B14,cloud_security,Video,Cloud security | IBM SkillsBuild,4 mins,112 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 7 learners in the past 12 months.,7,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Cloud security is the collection of practices, technologies, and policies designed to make using cloud services safer.  Watch this short video to give you a better understanding of cloud security and its essentialness for ensuring the confidentiality, integrity, and availability of data and services hosted in cloud environments.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL70503G,cloud_security,eLearning,Architecture Considerations for IBM Cloud Security,30 mins,12 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course introduces architects to the key functions of the cloud security framework, endpoint security management services, IBM Cloud support for FedRAMP High Security requirements, security features of a VPC design, IBM Cloud access management, and security monitoring dashboards. Finally, this course will review some troubleshooting access issues.</p>This course introduces architects to the key functions of the cloud security framework.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/MDL-306,cloud_security,eLearning,Introduction to Data Management and Security in the Cloud,2 hrs,3206 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 56 learners in the past 12 months.,56,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you will learn about the importance of cloud data security. You'll learn ways to identify vulnerabilities in cloud data security and describe the essential features of identity and access management (IAM). You'll explore the delivery of databases using the cloud with the database as a service (DBaaS) cloud model. And you'll learn about how to ensure cloud database integrity and security using data governance and data compliance. In the last module, you’ll get a chance to put what you’ve learned into practice by using a simulation to create an IBM Cloudant database and review the settings in the database.
<br/>
<br/><strong>What you’ll learn</strong>
<br/>
After completing this course, you should be able to: 
<ul>
<li>Explain why cloud data security is important</li>
<li>Identify ways to mitigate different types of vulnerabilities in cloud data security</li>
<li>Describe the features of identity and access management (IAM)</li>
<li>Explain database as a service (DBaaS) and the benefits that it provides</li>
<li>Identify ways cloud databases support data governance and data compliance</li>
<li>Create an IBM Cloudant database and review its security settings</li>
</ul></div>","['Badge Learning', 'Cloud Computing Fundamentals', 'Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA7169,cloud_security,eLearning,IBM Security Expert Lecture Series: QRadar on Cloud,48 mins,3 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course Drayton Graham, Senior Security Partner Technical Specialist, provides an overview and demonstration of IBM Security¬Æ QRadar¬Æ on Cloud.In this course Drayton Graham, Senior Security Partner Technical Specialist, provides an overview and demonstration of IBM Security¬Æ QRadar¬Æ on Cloud.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-SLA6771,cloud_security,eLearning,How to monitor and protect Cloud Databases - Delivering Data Security for the Cloud,48 mins,2 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Learn how to monitor and protect cloud databases using IBM Guardium in this event replay video from Master Skills University 2022.Learn how to monitor and protect cloud databases using IBM Guardium in this event replay video from Master Skills University 2022.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL52922G,cloud_security,eLearning,Applying IBM Cloud Security Best Practices,30 mins,6 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you will explore security best practices for IBM Cloud®. You review how to establish security practices. You review how to create secure accounts and grant users authorized access to resources while maintaining a secure environment. You also review cloud native security best practices and how to establish security throughout the entire development cycle. You apply what you already know about security best practices to meet client needs in a series of knowledge check points and activities based on the curriculum case study.</p>In this course, you will explore security best practices for IBM Cloud®. You review how to establish security practices. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL70519G,cloud_security,eLearning,Security and Compliance Center,12 mins,5 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you should be able to learn how to integrate the IBM Cloud® Security and Compliance Center (SCC) with DevSecOps.</p>In this course, you should be able to learn how to integrate the IBM Cloud® Security and Compliance Center (SCC) with DevSecOps.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL52806G,cloud_security,eLearning,IBM Cloud Services,30 mins,93 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course explains what types of services are included in the IBM Cloud® Catalog, including compute resources, container services, storage and database services, artificial intelligence and machine learning services, and security services.</p>This course explains what types of services are included in the IBM Cloud® Catalog, including compute resources, container services, storage and database services, and artificial intelligence.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL52802G,cloud_security,eLearning,Introduction to IBM Cloud,30 mins,66 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course examines the basic IBM Cloud® components, including the IBM Cloud platform, IBM Cloud platform security, and IBM Cloud hosting options.</p>This course examines the basic IBM Cloud® components, including the IBM Cloud platform, IBM Cloud platform security, and IBM Cloud hosting options.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL70361G,cloud_security,eLearning,Data Security,30 mins,42 learners have completed this activity in the past 12 months.,Average rating of 2 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course covers the various methods through which IBM Cloud can be used to secure an application. The course includes an overview of several IBM Cloud services and products, as well as information on security and governance requirements necessary for ensuring application security. </p>This course covers the various methods through which IBM Cloud can be used to secure an application.
<p>This course requires you register for an IBMid to access.</p></div>",[]
