course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-B666DDD920C4,cybersecurity,eLearning,Cybersecurity Professional,5 mins,371 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 30 learners in the past 12 months.,30,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Become an expert in Cybersecurity with this hands on training! 
<br/>
 Suitable for beginners</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-8C633FABD60A,cybersecurity,Learning Plan,Cybersecurity Express: Cybersecurity Essentials in Minutes!,About 30 minutes,1076 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 16 learners in the past 12 months.,16,"<div dir=""ltr"" lang=""en"" translate=""yes"">Did you know that every 39 seconds a cyber attack occurs? Cybersecurity protects an organization’s systems and networks from digital attackers. This quick cybersecurity primer highlights the fundamentals of cybersecurity and underscores the importance of effectively managing risks posed by cyberattacks. 
<br/>
<br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started!</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-AFACAD846AF5,cybersecurity,Video,Why cybersecurity? | IBM SkillsBuild,3 mins,1973 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 23 learners in the past 12 months.,23,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Watch a  brief video illustrating the ramifications of cyberattacks and emphasizing the significance of cybersecurity.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-7BD104D112EB,cybersecurity,Learning Plan,City and Guilds: Cybersecurity,About 4 hours,143 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 7 learners in the past 12 months.,7,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Cybersecurity is the practice of protecting systems, networks, and programs from digital attacks. These cyberattacks typically aim to access, change, or destroy sensitive information, extort money from users, or interrupt normal business processes. Implementing effective cybersecurity measures is particularly challenging today because there are more devices than people, and attackers are becoming more innovative. A robust cybersecurity strategy includes multiple layers of protection spread across computers, networks, programs, and data. To create a successful defense, an organization needs to integrate people, processes, and technology, ensuring that sensitive data is secured from unauthorized access and potential cyber threats. Learn the basics, and dive into the cybersecurity world.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-51C92EA05835,cybersecurity,Event,IBM SkillsBuild: Cybersecurity Content Tour,33 mins,3673 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 86 learners in the past 12 months.,86,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Usame Samim, IBM SkillsBuild Content Manager, provides a tour of the cybersecurity offerings available on the platform.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-65EA3D20577B,cybersecurity,Learning Plan,MCIT Certificate Programs (Cybersecurity Certificate),Months,1 learner has completed this activity in the past 12 months.,Average rating of 4.5 stars by 3 learners in the past 12 months.,3,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Complete this self-paced course with experiential learning to earn up to even (7) digital credentials, or badges, including the culminating certificate.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-BCD205AB179C,cybersecurity,Video,Cybersecurity for Small Business (U.S.),43 mins,80 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 10 learners in the past 12 months.,10,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This on-demand webinar, presented by lawyers from Jones Day and IBM, is part of a series of webinars covering legal education topics for small business owners and entrepreneurs in the United States.  
<br/>
<br/><strong>Webinar summary:</strong>
<br/>
Cybersecurity is a critical risk for small businesses in all industries. This presentation is designed to provide you with an understanding of the current cyber threat environment.  It also will explain the legal framework and the consequences your company may face in the event of a cyberattack. The session also will identify some practical steps that you can take now to protect the data your business handles and stores and mitigate the impact of a cybersecurity event.  As the risks continue to grow, you can meet the challenge of navigating the cyber landscape with an informed and pragmatic approach to protecting your business.   
<br/>
<br/><strong>Language: </strong>English <strong> </strong>
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit. 
<br/>
<br/><strong>Resources:</strong>
<br/><a href=""https://ibm.box.com/s/mybl0rxkl0b96lkkal3owuj1b59bh1e6"" rel=""noopener noreferrer nofollow"" target=""_blank"">Presentation slides</a>
<br/>
<br/><strong>Disclaimer:</strong>
<br/>
By clicking <strong>Go to this activity</strong>, you agree to the following:  
<br/>
Any presentation by the presenting lawyers and the firms and companies with which they work should not be considered or construed as legal advice on any individual matter or circumstance. The distribution of this presentation or its content is not intended to create, and receipt of it does not constitute, an attorney-client relationship. The contents of this document are intended for general information purposes only and may not be quoted or referred to in any other presentation, publication or proceeding without the prior written consent of the presenting lawyers and/or the firms and companies with which they work, which may be given or withheld at their discretion. The views set forth herein are the personal views of the authors and do not necessarily reflect those of the firms and companies with which they work. Any listener of any presentation pursuant to this program who needs legal advice should consult an attorney for that purpose.</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-A273AA80C96E,cybersecurity,Learning Plan,Cyber Investigator: An Interactive Cybersecurity Experience,About 90 minutes,3650 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 203 learners in the past 12 months.,203,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Join a team of cybersecurity investigators as they respond to a series of different cyber attacks. Travel through three different industries to help them conduct interviews, stop the attacks, solve puzzles, and restore things to normal.</p>
<p> </p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-JDFMV2KW11I,cybersecurity,Video,How it Works: Cybersecurity | IBM Think Academy,4 mins 50 s,671 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 78 learners in the past 12 months.,78,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Having the proper response plan in place in case of a security breach can stop it from becoming a major disaster. Let's introduce how cybersecurity works.
<br/>
<br/>
This video is presented by IBM Think Academy.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA7155,cybersecurity,eLearning,IBM Security Expert Lecture Series: Cybersecurity and the law,54 mins,47 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This presentation looks at cybersecurity law, how it applies to corporations at a high level and how it applies to their cybersecurity operations. This presentation looks at cybersecurity law, how it applies to corporations at a high level and how it applies to their cybersecurity operations.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
